CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT,String,Longitude,Latitude
23730000,UTAH,POINT (-122.40545417189192 37.75433723137436),ST,23730000,-122.40545417189192 37.75433723137436,-122.40545,37.75434
22141000,JOOST,POINT (-122.43974776014164 37.73236806396732),AVE,22141000,-122.43974776014164 37.73236806396732,-122.43975,37.73237
27966000,JOHN F KENNEDY,POINT (-122.5109259470119 37.77043567583329),DR,27966000,-122.5109259470119 37.77043567583329,-122.51093,37.77044
21349000,SAN JOSE,POINT (-122.42266944527441 37.74394224109009),AVE,21349000,-122.42266944527441 37.74394224109009,-122.42267,37.74394
24388000,MISSION,POINT (-122.41861821634723 37.77305345411757),ST,24388000,-122.41861821634723 37.77305345411757,-122.41862,37.77305
50222000,TILLMAN,POINT (-122.40570976315199 37.78918186206256),PL,50222000,-122.40570976315199 37.78918186206256,-122.40571,37.78918
27413000,24TH,POINT (-122.48222116265117 37.759595723492176),AVE,27413000,-122.48222116265117 37.759595723492176,-122.48222,37.7596
25125000,SALMON,POINT (-122.41254065701172 37.79618740092784),ST,25125000,-122.41254065701172 37.79618740092784,-122.41254,37.79619
21264000,BROOK,POINT (-122.4230899070404 37.74064188615599),ST,21264000,-122.4230899070404 37.74064188615599,-122.42309,37.74064
33593000,PORTOLA,POINT (-122.45446744612599 37.74371814245612),DR,33593000,-122.45446744612599 37.74371814245612,-122.45447,37.74372
26478000,STANYAN,POINT (-122.45497837621843 37.77632235896378),ST,26478000,-122.45497837621843 37.77632235896378,-122.45498,37.77632
26581000,BUCHANAN,POINT (-122.43201590001351 37.79657475292712),ST,26581000,-122.43201590001351 37.79657475292712,-122.43202,37.79657
50585000,BELGRAVE,POINT (-122.45190430039537 37.75944794891266),AVE,50585000,-122.45190430039537 37.75944794891266,-122.4519,37.75945
25572000,LEAVENWORTH,POINT (-122.41834134242518 37.804070022326144),ST,25572000,-122.41834134242518 37.804070022326144,-122.41834,37.80407
30049000,CALIFORNIA,POINT (-122.39639041504749 37.79366377811636),ST,30049000,-122.39639041504749 37.79366377811636,-122.39639,37.79366
51642000,INNES,POINT (-122.37835405221807 37.73347036679646),AVE,51642000,-122.37835405221807 37.73347036679646,-122.37835,37.73347
27319000,NORIEGA,POINT (-122.47433459583593 37.75433402988761),ST,27319000,-122.47433459583593 37.75433402988761,-122.47433,37.75433
23770000,RHODE ISLAND,POINT (-122.40244334418895 37.763503459611314),ST,23770000,-122.40244334418895 37.763503459611314,-122.40244,37.7635
21737000,ITALY,POINT (-122.4395003750605 37.71846722595782),AVE,21737000,-122.4395003750605 37.71846722595782,-122.4395,37.71847
22254000,HEARST,POINT (-122.45340856142971 37.73067203612568),AVE,22254000,-122.45340856142971 37.73067203612568,-122.45341,37.73067
52232000,SAN BRUNO,POINT (-122.40113002709128 37.72166868369782),AVE,52232000,-122.40113002709128 37.72166868369782,-122.40113,37.72167
21999000,BERKELEY,POINT (-122.43906017586673 37.73916659338697),WAY,21999000,-122.43906017586673 37.73916659338697,-122.43906,37.73917
21647000,EDINBURGH,POINT (-122.42965212555264 37.72434333705369),ST,21647000,-122.42965212555264 37.72434333705369,-122.42965,37.72434
26361000,BRODERICK,POINT (-122.44078384288323 37.78131005700107),ST,26361000,-122.44078384288323 37.78131005700107,-122.44078,37.78131
22376000,REPOSA,POINT (-122.4491984663575 37.74082931198449),WAY,22376000,-122.4491984663575 37.74082931198449,-122.4492,37.74083
